Date,Nifty 50,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2012-12-27,5870.10009765625,12459.5556640625,5967.64990234375,15178.0,4783.5498046875,6044.64990234375,2880.35009765625,278.6000061035156,7741.14990234375,2576.25,3640.449951171875,5715.5498046875,7075.75,1751.800048828125,2486.85009765625
2012-12-28,5908.35009765625,12458.005859375,6044.25,15237.650390625,4801.5,6035.5,2889.35009765625,278.3500061035156,7902.75,2587.550048828125,3645.89990234375,5775.0,7111.4501953125,1754.449951171875,2511.14990234375
2012-12-31,5905.10009765625,12474.10546875,6024.9501953125,15175.25,4830.5498046875,6035.0,2900.25,281.29998779296875,7927.39990234375,2585.0,3673.39990234375,5795.5,7106.0498046875,1768.050048828125,2522.39990234375
2013-01-01,,,,15259.2001953125,4869.5,6056.60009765625,2959.35009765625,289.45001220703125,7932.4501953125,2615.550048828125,3758.199951171875,5832.64990234375,7170.0498046875,1786.6500244140625,2550.0
2013-01-02,5993.25,12786.701171875,6031.0,15225.4501953125,4911.2998046875,6070.25,2973.89990234375,288.8999938964844,8022.9501953125,2639.699951171875,3790.199951171875,5862.2998046875,7231.85009765625,1824.300048828125,2566.89990234375
2013-01-03,6009.5,12778.001953125,6097.60009765625,15172.25,4905.35009765625,6075.7998046875,2983.75,292.70001220703125,8110.4501953125,2646.60009765625,3804.5,5894.4501953125,7260.14990234375,1837.5999755859375,2581.10009765625
2013-01-04,6016.14990234375,12787.201171875,6153.2001953125,15134.349609375,4892.89990234375,6080.39990234375,2955.800048828125,293.3999938964844,8183.5,2648.5,3828.85009765625,5921.35009765625,7274.9501953125,1826.75,2587.300048828125
2013-01-07,5988.39990234375,12708.552734375,6175.4501953125,14966.900390625,4913.2001953125,6104.4501953125,2986.050048828125,291.5,8174.7001953125,2621.35009765625,3805.35009765625,5913.9501953125,7236.25,1819.050048828125,2599.39990234375
2013-01-08,6001.7001953125,12725.3525390625,6147.89990234375,15148.599609375,4915.2998046875,6156.5498046875,2955.39990234375,295.54998779296875,8164.4501953125,2625.699951171875,3823.050048828125,5906.2998046875,7256.85009765625,1820.3499755859375,2589.85009765625
2013-01-09,5971.5,12717.8525390625,6101.0498046875,14918.849609375,4951.75,6169.25,2919.550048828125,292.6000061035156,8186.14990234375,2606.949951171875,3825.0,5862.7001953125,7227.75,1815.050048828125,2572.39990234375
2013-01-10,5968.64990234375,12802.1015625,6073.10009765625,14947.599609375,4970.89990234375,6117.10009765625,2907.050048828125,293.25,8192.7001953125,2589.39990234375,3836.14990234375,5823.2001953125,7227.25,1822.949951171875,2559.85009765625
2013-01-11,5951.2998046875,12617.703125,6639.85009765625,14582.75,4908.35009765625,6056.10009765625,2859.85009765625,287.1000061035156,8069.4501953125,2547.89990234375,3771.5,5721.60009765625,7311.4501953125,1824.449951171875,2514.75
2013-01-14,6024.0498046875,12758.6015625,6809.5,14737.5498046875,4882.10009765625,6031.35009765625,2901.0,301.6000061035156,8170.85009765625,2582.300048828125,3833.25,5745.25,7429.5498046875,1836.4000244140625,2544.449951171875
2013-01-15,6056.60009765625,12855.2509765625,6791.5,14852.349609375,4903.25,6032.2001953125,2894.5,305.1499938964844,8213.0498046875,2614.85009765625,3828.949951171875,5757.2998046875,7466.39990234375,1823.4000244140625,2564.64990234375
2013-01-16,6001.85009765625,12638.353515625,6777.9501953125,14815.2998046875,4784.0498046875,6018.2001953125,2827.60009765625,300.29998779296875,8244.0,2579.5,3747.35009765625,5705.0498046875,7380.64990234375,1784.75,2535.39990234375
2013-01-17,6039.2001953125,12649.4521484375,6869.4501953125,14806.0,4806.60009765625,6001.89990234375,2837.699951171875,306.45001220703125,8458.0498046875,2583.800048828125,3785.5,5698.0498046875,7410.7998046875,1812.050048828125,2560.199951171875
2013-01-18,6064.39990234375,12679.8525390625,6798.7001953125,14818.849609375,4778.25,5960.75,2825.10009765625,310.1499938964844,8711.349609375,2597.10009765625,3819.449951171875,5675.75,7427.89990234375,1790.449951171875,2595.14990234375
2013-01-21,6082.2998046875,12651.2021484375,6789.39990234375,14992.150390625,4765.10009765625,5940.89990234375,2818.300048828125,305.3500061035156,8798.0,2636.800048828125,3817.199951171875,5715.5498046875,7419.64990234375,1793.3499755859375,2606.25
2013-01-22,6048.5,12574.203125,6739.64990234375,14802.9501953125,4739.2998046875,5926.25,2793.75,299.0,8756.25,2614.300048828125,3756.85009765625,5624.7998046875,7373.60009765625,1785.3499755859375,2593.14990234375
2013-01-23,6054.2998046875,12635.0537109375,6725.7998046875,14785.150390625,4699.60009765625,5910.7998046875,2780.800048828125,290.8500061035156,8726.25,2629.800048828125,3737.0,5524.10009765625,7405.2001953125,1829.6500244140625,2581.800048828125
2013-01-24,6019.35009765625,12561.25390625,6742.39990234375,14910.150390625,4579.89990234375,5857.64990234375,2730.85009765625,276.1000061035156,8638.5498046875,2595.300048828125,3662.050048828125,5498.5,7343.39990234375,1782.8499755859375,2544.25
2013-01-25,6074.64990234375,12693.1025390625,6800.75,15056.599609375,4679.0498046875,5949.4501953125,2766.89990234375,289.54998779296875,8654.25,2625.39990234375,3764.64990234375,5559.35009765625,7403.64990234375,1811.5999755859375,2562.75
2013-01-28,6074.7998046875,12781.201171875,6822.7001953125,15082.75,4723.25,5936.39990234375,2773.10009765625,294.20001220703125,8565.900390625,2608.949951171875,3730.699951171875,5538.5498046875,7424.5498046875,1822.3499755859375,2550.300048828125
2013-01-29,6049.89990234375,12722.65234375,6792.2998046875,15166.099609375,4680.7998046875,5914.9501953125,2759.050048828125,287.0,8470.849609375,2595.949951171875,3674.300048828125,5509.0,7388.10009765625,1794.550048828125,2532.699951171875
2013-01-30,6055.75,12767.3515625,6787.85009765625,15176.4501953125,4658.5498046875,5929.2998046875,2766.0,290.70001220703125,8532.599609375,2567.89990234375,3619.0,5551.60009765625,7375.39990234375,1788.300048828125,2542.14990234375
2013-01-31,6034.75,12708.4521484375,6778.0,15265.349609375,4649.89990234375,5935.25,2773.25,294.79998779296875,8482.650390625,2561.550048828125,3698.699951171875,5542.5,7344.4501953125,1819.8499755859375,2543.550048828125
2013-02-01,5998.89990234375,12606.103515625,6752.64990234375,15302.599609375,4591.0498046875,5989.64990234375,2754.35009765625,291.3500061035156,8505.400390625,2537.64990234375,3656.89990234375,5508.75,7287.89990234375,1831.800048828125,2531.050048828125
2013-02-04,5987.25,12548.2041015625,6750.25,15257.7001953125,4628.14990234375,5907.5,2730.89990234375,289.79998779296875,8410.5,2519.89990234375,3539.199951171875,5486.5,7288.4501953125,1843.1500244140625,2507.199951171875
2013-02-05,5956.89990234375,12467.60546875,6728.7001953125,15069.75,4611.9501953125,5963.75,2713.10009765625,288.6499938964844,8344.0,2496.85009765625,3541.89990234375,5482.35009765625,7253.39990234375,1835.0,2504.199951171875
2013-02-06,5959.2001953125,12417.5556640625,6766.7998046875,15133.25,4605.5,5951.9501953125,2718.300048828125,291.04998779296875,8329.25,2481.64990234375,3534.949951171875,5492.5,7266.39990234375,1848.4000244140625,2508.89990234375
2013-02-07,5938.7998046875,12349.15625,6799.0,15119.150390625,4615.10009765625,5909.64990234375,2691.199951171875,286.3999938964844,8261.5498046875,2448.5,3489.10009765625,5459.7998046875,7242.89990234375,1811.0999755859375,2481.550048828125
2013-02-08,5903.5,12280.0078125,6852.7001953125,14989.5498046875,4566.0498046875,5837.35009765625,2654.050048828125,282.95001220703125,8166.25,2453.25,3438.35009765625,5382.14990234375,7234.5498046875,1802.0999755859375,2443.550048828125
2013-02-11,5897.85009765625,12332.8564453125,6832.0498046875,14950.150390625,4571.2001953125,5886.5498046875,2647.199951171875,284.6499938964844,8170.64990234375,2440.949951171875,3446.10009765625,5385.9501953125,7225.85009765625,1800.949951171875,2440.300048828125
2013-02-12,5922.5,12405.10546875,6791.89990234375,14997.7998046875,4611.75,5957.75,2642.550048828125,270.0,8261.4501953125,2447.199951171875,3453.449951171875,5386.5,7233.5,1795.0999755859375,2447.800048828125
2013-02-13,5932.9501953125,12384.9560546875,6884.14990234375,14916.0498046875,4628.0,5948.25,2612.64990234375,264.6000061035156,8252.7998046875,2423.35009765625,3395.699951171875,5339.39990234375,7264.0498046875,1775.550048828125,2434.449951171875
2013-02-14,5896.9501953125,12311.15625,6900.35009765625,14977.0498046875,4567.14990234375,5893.7998046875,2612.75,262.1499938964844,8124.39990234375,2366.64990234375,3357.39990234375,5311.5,7229.2001953125,1747.75,2424.89990234375
2013-02-15,5887.39990234375,12336.40625,6864.14990234375,14978.7998046875,4585.35009765625,5865.35009765625,2603.449951171875,262.3999938964844,8074.0498046875,2378.39990234375,3374.89990234375,5287.10009765625,7233.25,1731.550048828125,2414.89990234375
2013-02-18,5898.2001953125,12347.056640625,6834.7001953125,15036.0,4586.2001953125,5864.7001953125,2610.550048828125,267.70001220703125,8080.89990234375,2403.449951171875,3418.0,5338.35009765625,7248.14990234375,1727.699951171875,2418.050048828125
2013-02-19,5939.7001953125,12413.505859375,6936.25,15150.900390625,4627.89990234375,5938.25,2614.75,273.3500061035156,8151.89990234375,2408.550048828125,3450.64990234375,5403.0498046875,7290.5498046875,1733.800048828125,2440.699951171875
2013-02-20,5943.0498046875,12363.556640625,6972.0498046875,15089.150390625,4619.64990234375,5924.39990234375,2599.10009765625,275.20001220703125,8271.5498046875,2395.14990234375,3421.5,5423.7998046875,7274.2001953125,1722.5999755859375,2448.35009765625
2013-02-21,5852.25,12055.3603515625,6939.85009765625,14882.900390625,4550.7998046875,5907.35009765625,2520.699951171875,268.1499938964844,8156.14990234375,2348.550048828125,3344.89990234375,5336.7001953125,7157.0498046875,1676.75,2403.699951171875
2013-02-22,5850.2998046875,12068.8095703125,6992.85009765625,14665.25,4526.7998046875,5944.14990234375,2508.64990234375,272.20001220703125,8189.5,2374.39990234375,3338.800048828125,5274.39990234375,7182.9501953125,1687.550048828125,2405.050048828125
2013-02-25,5854.75,12037.16015625,7095.2001953125,14634.849609375,4563.64990234375,5954.5498046875,2476.550048828125,264.04998779296875,8128.2998046875,2349.699951171875,3333.39990234375,5271.4501953125,7217.2001953125,1683.3499755859375,2386.199951171875
2013-02-26,5761.35009765625,11844.7119140625,7156.75,14545.599609375,4436.0498046875,5833.7998046875,2410.550048828125,258.5,7912.7998046875,2324.10009765625,3282.699951171875,5223.75,7146.25,1657.1500244140625,2343.800048828125
2013-02-27,5796.89990234375,11930.361328125,7072.5,14669.849609375,4469.5498046875,5813.7998046875,2431.800048828125,264.75,7991.5,2371.89990234375,3323.699951171875,5219.4501953125,7166.9501953125,1685.0999755859375,2361.39990234375
2013-02-28,5693.0498046875,11487.2158203125,7106.64990234375,14594.25,4424.7998046875,5778.2001953125,2360.35009765625,257.1499938964844,7828.9501953125,2299.89990234375,3136.60009765625,5095.75,7002.85009765625,1645.8499755859375,2297.300048828125
2013-03-01,5719.7001953125,11539.916015625,7117.7001953125,14631.4501953125,4481.60009765625,5807.0,2378.75,246.8000030517578,7850.7998046875,2317.199951171875,3158.800048828125,5163.7998046875,7029.75,1677.050048828125,2311.800048828125
2013-03-04,5698.5,11575.46484375,7101.64990234375,14580.599609375,4454.25,5817.89990234375,2320.25,240.6999969482422,7838.0,2281.85009765625,3148.800048828125,5080.0498046875,7033.2998046875,1669.6500244140625,2267.64990234375
2013-03-05,5784.25,11791.9130859375,7200.2001953125,14703.099609375,4531.0498046875,5885.35009765625,2376.10009765625,248.39999389648438,7948.4501953125,2320.949951171875,3199.60009765625,5176.39990234375,7133.5498046875,1679.1500244140625,2314.35009765625
2013-03-06,5818.60009765625,11876.0625,7305.89990234375,14516.2001953125,4546.60009765625,5891.0,2413.5,260.20001220703125,7995.39990234375,2349.14990234375,3257.199951171875,5165.4501953125,7190.60009765625,1676.5999755859375,2332.800048828125
