Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2011-10-04,98.98495756572187,101.18604636625858,98.63313980479161,102.46626963551223,99.88294018851158,98.75571783142706,102.63990826390855,100.48418132999402,97.88638265395979,95.89164058549389,100.13075925482681,99.41604510252178,96.83396334984994,96.47219135738432
2011-10-05,99.25604420230913,101.68652916686501,98.41636924101337,102.3620641990742,99.91820408411107,98.43384892609518,102.8373080874204,100.50014626594734,97.6175942889341,96.4698400451277,100.1189476818363,99.66628092132994,97.10437822280241,96.20069147004264
2011-10-07,99.48207285226854,102.14808096936456,98.31839923991184,102.24255030759404,100.00778085165686,98.06918387278064,102.97507660101066,100.54284240132219,97.37581248147491,97.05237190922637,100.14861626560966,99.89673514283336,97.44698439278544,96.0336756150314
2011-10-10,99.65924173966916,102.60974131354492,98.32654363893711,102.11251630840242,100.1494659620764,97.65738772175497,103.01464094540152,100.58809391024668,97.16105158923325,97.6066484103177,100.19926374799,100.11490902766026,97.84515838505271,95.99001972941225
2011-10-11,99.78863327280509,103.07554500720428,98.42199661625307,101.92462590069371,100.3094887859488,97.10593241815161,102.99199748114442,100.62502336946609,96.9923115711921,98.11827881181158,100.24089870099182,100.32212001029724,98.1995445731344,96.01598731998708
2011-10-12,99.85671108663257,103.58043765231945,98.56549164483718,101.70378260638883,100.4855705584265,96.48390570731722,102.921918951856,100.65868824433493,96.84520575273918,98.57000582718648,100.27552263198905,100.51695492387249,98.50574308123132,96.07668218450699
2011-10-13,99.86296084531565,104.09320212417343,98.75003988695296,101.45552466468278,100.65373416339988,95.8433704534756,102.8553948110707,100.70576132008873,96.71355695944496,98.94198323201066,100.27879452122428,100.69079342793403,98.7687277217087,96.15800104687222
2011-10-14,99.82727820386143,104.59099785384413,98.95747827107756,101.22258834920498,100.79445152965802,95.23155938630309,102.79479755564891,100.74245300128719,96.5963800901906,99.22440564786596,100.24263911290015,100.84262951412664,98.97913050093824,96.25986337260426
2011-10-17,99.73632491671013,105.06760393564596,99.18616975990224,101.02095224245375,100.87655148580184,94.67118666435576,102.69166802239059,100.78830528520326,96.47178071089206,99.38081189277482,100.16258761582762,100.9601229221529,99.11870090518077,96.37824533013205
2011-10-18,99.6113252032534,105.4751227951793,99.41824121013623,100.8383690318833,100.92572847140688,94.19227792106595,102.56891512215627,100.84179985024996,96.36291107657802,99.44377034970262,100.05509111827755,101.04827260989696,99.22451847227798,96.50288959425957
2011-10-19,99.47351151139557,105.79547803781881,99.61312387835753,100.68721567480512,100.92337303361398,93.78706246161916,102.43606796990197,100.89998583562941,96.28356969497358,99.42742638471043,99.92495547898805,101.10312075125616,99.28496178851194,96.62916663844658
2011-10-20,99.31892211720547,106.02740925407431,99.78013262758463,100.5808531004998,100.90758011628314,93.50352930339308,102.28801177570703,100.95799707010183,96.25559553274233,99.36430196046162,99.79302332561747,101.12839062894261,99.35117122733797,96.78341632138606
2011-10-21,99.14584972614698,106.16330604809643,99.94699858470558,100.54022121112972,100.8897544206689,93.3322510973981,102.10294850747512,101.00623297879996,96.26762068059625,99.24166569514365,99.66378288632372,101.11926459478673,99.43588613787064,96.94936991775776
2011-10-24,98.9621254132658,106.22740772072139,100.11435488930111,100.51625696976627,100.8376077663968,93.25452028539566,101.9507227393469,101.03745410566712,96.31109949012925,99.04360875956566,99.53718142088537,101.07745168426455,99.49498367649078,97.10865855180836
2011-10-25,98.77308400520037,106.24037505910141,100.27771095825054,100.48710274514484,100.73554891260947,93.24989532764981,101.80381102264548,101.05645705572319,96.34227690273302,98.75111808385951,99.39149081029258,101.00659904230172,99.48936934804043,97.24444979431344
2011-10-28,98.62558781021069,106.20077651175168,100.39114640194475,100.46249658009502,100.53840877399331,93.34310553640394,101.68807913701046,101.05148212997184,96.34562461445826,98.42781504149316,99.2056364014263,100.9227351933547,99.3790807160782,97.36501951810403
2011-10-31,98.52265519766604,106.11629029775723,100.44356344967707,100.46796337020255,100.28026384162912,93.50314684817756,101.5939301788791,101.01899045443781,96.34663287017652,98.10777246296641,98.98752185160511,100.84310222657965,99.2021308971805,97.47099979935095
2011-11-01,98.46438988354157,105.9668868736251,100.45887568394967,100.50633890052485,99.99247366434724,93.72912044080681,101.51678850789769,100.95894421083827,96.35305743451615,97.82080378810419,98.78121418480887,100.76201880841866,98.9719148746874,97.5512603414517
2011-11-02,98.44683840487974,105.80410492875536,100.43241561130074,100.56855968724732,99.67064990090908,94.03416314396772,101.44321958921391,100.87782280287561,96.32612983885944,97.56196251942124,98.59169631448258,100.68504326522444,98.72404819323323,97.6099385327027
2011-11-03,98.4762361186208,105.57871691153389,100.37902362308077,100.64913306606435,99.34373079662738,94.40712629747918,101.38392890370503,100.78444855137784,96.29864296532796,97.33192702892029,98.4199846740413,100.61302775128534,98.50134194445891,97.67052734247268
2011-11-04,98.53086127273211,105.2861106746346,100.3191119336504,100.76484782811067,99.05136752840069,94.8449223420521,101.29004888002495,100.67604864600796,96.27779678527999,97.13237724220468,98.29721915100465,100.53731152931721,98.30957520819334,97.75543910793428
2011-11-08,98.60628779982972,104.92607638854679,100.27314009942154,100.89047493748805,98.81108733481081,95.34405137745229,101.19039461969778,100.55911945947211,96.27911018095006,96.99719289605896,98.24496004950755,100.45633783361872,98.1551473434831,97.87545692658877
2011-11-09,98.69602389740957,104.52388966820011,100.23418408702433,100.98644640134067,98.63702476683184,95.86644982764842,101.08000823605074,100.44011065163565,96.32116421565395,96.9340332749741,98.2434796047995,100.37796527634734,98.04039761014928,98.0172785476894
2011-11-11,98.77780245244114,104.12897520575655,100.19633078901781,101.06842708370972,98.4924515440543,96.39431356877118,100.98698019470638,100.32768165432796,96.39001824655882,96.92103273702934,98.27716594691455,100.29748915051141,97.93115211413028,98.17042775584669
2011-11-14,98.83276030019002,103.77313110398691,100.1978809006602,101.1237581951898,98.40788295827066,96.91196440610517,100.89348335808613,100.22726342912777,96.47225272590504,96.9421030993003,98.35389908702203,100.22215849573192,97.84280861273369,98.33260888936539
