Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2007-11-19,158.00883350317915,77.94957206099248,147.40860341540792,63.78662756052422,80.42589013095565,65.096302871791,7.725673805474901,150.70637381246044,60.032174201788614,71.49635386651664,83.5281707286288,114.88188417952577,23.094363629989175,43.34780310958655
2007-11-20,158.59874443396913,77.36682509580896,147.56758777922053,63.855423249293366,80.51263173680684,65.1665110825659,7.734006164011165,150.8689149152722,60.09692060601892,71.5734647139911,83.6182582321804,115.00578755318712,23.119271556828586,43.394554945913434
2007-11-21,159.02952022544952,76.96028446865905,148.20301292596542,64.13038431831447,80.85931864553858,65.44711768792321,7.767308748106022,151.51855555683846,60.35569758523015,71.88165962320768,83.97831794995004,115.50100178371197,23.218823001307108,43.581411638900036
2007-11-22,159.47528847049105,76.57475745807378,148.8611928468444,64.41519182960069,81.21842052138933,65.73777290397547,7.801803908199864,152.19146003387436,60.62374144936594,72.20089108894776,84.35127151933163,116.0139497914115,23.321939414288117,43.774959728766575
2007-11-23,159.3976515132845,76.25960706231673,149.4587024808341,64.67374610393786,81.54442078909433,66.00163584821215,7.833119343126172,152.80233693094962,60.867077330744806,72.49069615622726,84.68984664699393,116.47961482708595,23.415550671976327,43.950666772793554
2007-11-26,159.28635107320147,75.94123525009852,149.6704755656261,64.76538451970187,81.65996383377119,66.09515579581567,7.8442183545540995,153.0188477243539,60.953321948921264,72.59341067260476,84.80984655183252,116.64465872843043,23.448728956784098,44.012941957353874
2007-11-27,159.2802938008058,75.65582860709821,149.83499243255784,64.83657423234588,81.74972396417044,66.16780718487418,7.8528406711622525,153.18704510138485,61.02032146581475,72.67320490348837,84.90306901395765,116.7728738204571,23.474503655547647,44.061320712668895
2007-11-28,159.4579555252223,75.56603729192645,150.14649375080293,64.9713670335199,81.91967856801557,66.30536756932679,7.869166431796148,153.5055152111533,61.14718042090762,72.82428976531544,85.07957930365387,117.01564023663128,23.52330626644072,44.15292254254047
2007-11-29,159.89918952452516,75.40576579673355,150.26915475611992,65.02444488434456,81.98660220956974,66.35953522146967,7.8755950858487225,153.63092034281593,61.19713413234877,72.88378300002884,85.14908440143294,117.11123524994582,23.542523447761052,44.18899292774534
2007-11-30,160.383143537537,75.3902586365422,149.99289254775618,64.90490074522612,81.8358740057716,66.23753658657996,7.861116204310283,153.34847769917596,61.08462630964641,72.74978986698586,84.99254213475773,116.89593219239643,23.49924171420309,44.10775370874925
2007-12-03,160.46566261568162,75.54896325418592,149.6811564591424,64.77000635425529,81.66579131160177,66.09987252647566,7.844778139379041,153.02976756684353,60.957671744288305,72.59859113646343,84.81589881388838,116.65298280954538,23.45040232206294,44.01608284098245
2007-12-04,160.3228102085158,75.69989381327157,149.82156196792508,64.83076260381372,81.74239632488796,66.16187623123113,7.852136781522132,153.1733141753973,61.014851907228866,72.6666908383,84.8954587244846,116.76240687994841,23.472399517615653,44.057371274691185
2007-12-05,160.42139282123054,75.84533855541302,149.77278355300655,64.8096552158234,81.71578290241393,66.1403354636126,7.849580308469153,153.12344450793987,60.99498689098267,72.6430322543825,84.8678187382505,116.72439175679213,23.464757450427424,44.043027219616405
2007-12-06,160.5044627370057,76.02018486639679,149.68925783799517,64.7735119816314,81.67021141049983,66.1034501318478,7.845202732034699,153.03805018672796,60.9609710319506,72.60252048004205,84.8204894099613,116.659296563597,23.45167155726899,44.01846517801902
2007-12-07,160.8557744290734,76.3442666921583,149.57331311743832,64.72334040048612,81.60695216279846,66.05224842129034,7.8391260779606835,152.9195115940477,60.91375252841027,72.54628478838077,84.75479005327949,116.56893584075166,23.43350660980001,43.98436982129055
2007-12-10,161.2132924447644,76.66241139439178,149.2531167962358,64.58478509900728,81.43225357972592,65.91084828438859,7.8223446128765,152.59215195995267,60.78335253215608,72.39098266247338,84.57335279409378,116.31939303365077,23.383341761185324,43.89021108993898
